,Condition,Drugs
1540,Gastrointestinal Stromal Tumors,[Sorafenib]
1541,Oral Candidiasis,[Nystatin]
1542,Occlusive vascular disease,[Gadobenic acid]
1543,Acute Crusting Rhinitis,[Framycetin]
1544,Relapsed platinum-sensitive Ovarian cancer,[Trabectedin]
1545,Diabetic Peripheral Neuropathy (DPN),[Duloxetine]
1546,Community Acquired Bacterial Pneumonia,[Omadacycline]
1547,Dental Plaque,[Triclosan]
1548,Chronic Chronic myelogenous leukemia,[Busulfan]
1549,Phantom Limb Pain (PLP),[Methotrimeprazine]
1550,Meningitis bacterial,[Cefotaxime]
1551,Orthopaedic Related Pain (Musculoskeletal Pain),[Capsaicin]
1552,Nonlymphocytic Acute myeloid leukemia,[Tioguanine]
1553,Fever blister,[Benzyl alcohol]
1554,Advanced Carcinoid tumor,[Everolimus]
1555,History of stroke or other cerebrovacular disease cardiovascular event,[Simvastatin]
1556,Unresectable Solid Tumors,[Pembrolizumab]
1557,"Cardiac surgery, heparin-induced thrombocytopenia and thrombosis syndrome",[Danaparoid]
1558,Arsenic Poisoning,[Dimercaprol]
1559,Metastatic Pancreatic Neuroendocrine Tumors,[Sunitinib]
1560,Idiopathic hypertrophic subaortic stenosis,[Propranolol]
1561,Sinus Bradycardia,[Atropine]
1562,Dermatophytosis,[Tolnaftate]
1563,Thymic Cancer,[Cisplatin]
1564,Eczematous dermatitis infected,[Gentamicin]
1565,Moderate Aplastic Anemia,[Antilymphocyte immunoglobulin (horse)]
1566,Embolization,[Heparin]
1567,Idiopathic Edema,[Triamterene]
1568,Excessive bronchial secretion,[Atropine]
1569,Rectal infection caused by Chlamydia Trachomatis,[Doxycycline]
1570,Moderate restless legs syndrome (RLS),[Pramipexole]
1571,Pneumothorax,[Bleomycin]
1572,Recurrent Ovarian Cancer,[Anastrozole]
1573,Pulmonary Emphysema,[Orciprenaline]
1574,Salmonella,[Ampicillin]
1575,Symptomatic Trichomoniasis,[Metronidazole]
1576,Spondyloarthropathies,[Acetylsalicylic acidCommonly known or available as Aspirin]
1577,Inflammation of Mouth,[Triamcinolone]
1578,Symptomatic Orthostatic Hypotension,[Midodrine]
1579,Pain of the eye,[Difluprednate]
1580,Antibody-mediated Rejection,[Antithymocyte immunoglobulin (rabbit)]
1581,Aortoiliac Occlusive Disease,[Gadofosveset trisodium]
1582,Severe Erythema nodosum leprosum,[Thalidomide]
1583,Invasive Fungal Infections,[Amphotericin B]
1584,In situ BCG-refractory Bladder carcinoma,[Valrubicin]
1585,Inflammatory Disease of the Oral Cavity,[Diclofenac]
1586,Tremor caused by lithium,[Propranolol]
1587,"Ocular Infection caused by Staphylococcus epidermidis, Streptococcus Pneumoniae, Streptococcus viridans, Haemophilus Influenzae, Pseudomonas Aeruginosa, Staphylococcus Aureus",[Trimethoprim]
1588,Cystitis interstitial,[Pentosan Polysulfate]
1589,Advanced Neuroendocrine tumor,[Temozolomide]
1590,"Acute, mild Pain",[Floctafenine]
1591,Recurrent Nephrolithiasis,[Indapamide]
1592,Severe Vulvovaginal atrophy,[Norgestimate]
1593,Human Growth Hormone Deficiency,[Clonidine]
1594,Refractory Urinary Tract Infection,[Cycloserine]
1595,Urinary Retention,[Phenoxybenzamine]
1596,Renal Cell Adenocarcinoma,[Nivolumab]
1597,Oesophagostomiasis,[Ivermectin]
1598,Moderate Otitis media,[Phenoxymethylpenicillin]
1599,Extrapyramidal symptoms caused by phenothiazines,[Trihexyphenidyl]
1600,Severe Sustained ventricular tachycardia,[Flecainide]
1601,"Pneumonia, Aspiration",[Prednisolone]
1602,Acute Hypercapnia,[Doxapram]
1603,Duke's C Colon cancer,[Capecitabine]
1604,UTI caused by Pseudomonas aeruginosa,[Ciprofloxacin]
1605,Bladder calculus,[Magnesium carbonate]
1606,Neuroendocrine Tumours,[Etoposide]
1607,Dermographism,[Promethazine]
1608,Severe Eczema of the hand,[Alitretinoin]
1609,Profuse watery diarrhea,[Octreotide]
1610,"Urine flow decreased caused by Trauma, endotoxic septicemia, Open-heart Surgery, Renal Failure, chronic cardiac decompensation, Myocardial Infarction",[Dopamine]
1611,Pneumonitis,[Clindamycin]
1612,Complicated Respiratory tract infection bacterial,[Gentamicin]
1613,Secondary infection Skin infection,[Mupirocin]
1614,"Sinusitis, Acute",[Ciprofloxacin]
1615,Upper gastrointestinal motility disorders,[Domperidone]
1616,Sickle Cell Disorders,[Hydroxyurea]
1617,Cheilitis,[Bendazac]
1618,Calcium oxalate calculi Renal Calculi,[Allopurinol]
1619,Uncomplicated Malignant hypertension,[Mecamylamine]
1620,Colon Cancer Stage III,[Oxaliplatin]
1621,Partially obstructive Non-small cell lung cancer,[Porfimer sodium]
1622,Urinary tract infection fungal,[Flucytosine]
1623,Graves' Disease,[Methimazole]
1624,Solar Lentigines,[Tretinoin]
1625,Calcium channel blocker overdose,[Calcium Chloride]
1626,Peripheral arterial embolism,[Heparin]
1627,Ocular aspergillosis,[Amphotericin B]
1628,Primary apnea of premature newborns,[Caffeine]
1629,Bladder Outlet Obstruction,[Tamsulosin]
1630,Cystoid Macular Edema,[Ketorolac]
1631,Acute Bipolar Depression,[Lamotrigine]
1632,Exogenous Obesity,[Diethylpropion]
1633,Hiccups,[Metoclopramide]
1634,Symptom recurrence,[Leuprolide]
1635,Barbiturate withdrawal,[Chloral hydrate]
1636,"Minimally symptomatic, metastatic hormone-refractory Prostate cancer",[Sipuleucel-T]
1637,Ovulatory Dysfunction,[Clomifene]
1638,Acute Renal Failure (ARF),[Mannitol]
1639,Myeloproliferative Disorders,[Imatinib]
1640,Progressive Relapsing Multiple Sclerosis,[Mitoxantrone]
1641,Mild Acne vulgaris,[Tazarotene]
1642,"Lipodystrophy, Congenital Generalized",[Metreleptin]
1643,Abrupt opioid withdrawal,[Lofexidine]
1644,Advanced untreated gastric adenocarcinoma,[Docetaxel]
1645,Primary generalized tonic-clonic seizure Epilepsy,[Topiramate]
1646,Aluminum overload,[Deferoxamine]
1647,Pancreatic origin Progressive Neuroendocrine Tumors,[Everolimus]
1648,Neurogenic shock,[Norepinephrine]
1649,Increased bronchial secretion,[Glycopyrronium]
1650,Superficial skin infections,[Neomycin]
1651,Relapsed Lymphomas,[Mitoxantrone]
1652,Tinea Pedis caused by Epidermophyton floccosumin,[Ketoconazole]
1653,Mild Babesiosis,[Atovaquone]
1654,Bipolar Affective Disorders,[Methotrimeprazine]
1655,LVEF ≤40% Left ventricular dysfunction,[Carvedilol]
1656,Recurrent multiple myeloma,[Bendamustine]
1657,Heterozygous familial hyperlipidemia,[Atorvastatin]
1658,Idiopathic Vitiligo,[Methoxsalen]
1659,Eczema impetiginous,[Clioquinol]
1660,Active duodenal ulcers,[Ranitidine]
1661,Refractory Neuroendocrine Tumour,[Oxaliplatin]
1662,Disturbed sleep/nightmares,[Prazosin]
1663,Chronic Functional Diarrhea,[Loperamide]
1664,Severe Hypoglycemia,[Glucagon]
1665,Acute Muscle spasm,[Cyclobenzaprine]
1666,Mild community-acquired pneumonia,[Telithromycin]
1667,Cytomegalovirus gastroesophagitis,[Ganciclovir]
1668,Testicular failure,[Fluoxymesterone]
1669,Opioid type dependence,[Methadone]
1670,Excessive Sleepiness,[Armodafinil]
1671,Serious allergic reactions,[Epinephrine]
1672,Basal Cell Carcinoma (BCC),[Aminolevulinic acid]
1673,Stage M1 hormone dependent carcinoma of the prostate,[Goserelin]
1674,Pnuemonia caused by pneumocystis carinii,[Trimethoprim]
1675,"Acute, uncomplicated Cystitis caused by Escherichia coli",[Ciprofloxacin]
1676,Deep vein thrombosis postoperative,[Dihydroergotamine]
1677,Mucocutaneous Lymph Node Syndrome,[Acetylsalicylic acidCommonly known or available as Aspirin]
1678,Intertriginous psoriasis,[Pimecrolimus]
1679,Recurrent Ventricular fibrillation,[Amiodarone]
1680,"Acute Otitis Media caused by Haemophilus Influenzae, Streptococcus Pneumoniae",[Trimethoprim]
1681,Gold poisoning,[Dimercaprol]
1682,Obstructive Hypertrophic Cardiomyopathy,[Propranolol]
1683,Blood pressure >185/110 mm Hg arterial hypertension,[Nicardipine]
1684,Chronic Thromboembolic Pulmonary Hypertension,[Riociguat]
1685,"Puberty, Precocious",[Tamoxifen]
1686,Moderate-to-severe Plaque Psoriasis,[Certolizumab pegol]
1687,Lung Infection,[Amikacin]
1688,Dupuytren’s Contracture,[Collagenase clostridium histolyticum]
1689,Mucus,[Hydrocodone]
1690,Cutaneous Melanoma,[Ipilimumab]
1691,Toxocariasis,[Mebendazole]
1692,Complicated Urinary Infection,[Imipenem]
1693,Acute asthma exacerbations,[Ipratropium]
1694,Symptomatic for no more than 72 hours Herpes zoster,[Valaciclovir]
1695,Central venous access device thrombosis,[Alteplase]
1696,Familial periodic paralysis,[Acetazolamide]
1697,Giant follicular lymphoma,[Chlorambucil]
1698,Revascularization,[Atorvastatin]
1699,Mild Pneumocystis jiroveci pneumonia,[Atovaquone]
1700,Fungal conjunctivitis,[Natamycin]
1701,Lower respiratory tract infection caused by Haemophilus influenzae,[Ciprofloxacin]
1702,Herpes simplex type I reactivation,[Acyclovir]
1703,Extrapyramidal disorder caused by neuroleptic drugs,[Benzatropine]
1704,Urticaria Pigmentosa,[Cromoglicic acid]
1705,"Refractory, metastatic hormone-refractory Prostate cancer",[Cabazitaxel]
1706,Polycystic Ovaries Syndrome,[Metformin]
1707,Refractory Sinusitis,[Metronidazole]
1708,Recurrent nasal polyps,[Beclomethasone dipropionate]
1709,Myocardial Revascularization,[Pravastatin]
1710,Strabismus,[Botulinum toxin type A]
1711,Severe Genital herpes,[Acyclovir]
1712,Traveler's Diarrhea caused by Enterotoxigenic Escherichia coli,[Trimethoprim]
1713,Acute Nonlymphocytic Leukemia,[Tioguanine]
1714,Chronic urea-splitting urinary infection,[Acetohydroxamic acid]
1715,Juvenile-onset Hypophosphatasia,[Asfotase alfa]
1716,Chagas' Disease caused by Typanosoma cruzi,[Benznidazole]
1717,Acute Uncomplicated Pyelonephritis,[Ciprofloxacin]
1718,Pneumonia due to Haemophilus influenzae (H. influenzae),[Cefdinir]
1719,Acute Mercury poisoning,[Dimercaprol]
1720,Leishmaniasis,[Amphotericin B]
1721,Locally Advanced Pancreatic Cancer,[Erlotinib]
1722,Herpetic whitlow,[Foscarnet]
1723,Advanced HR + HER2 - breast cancer,[Letrozole]
1724,History of coronary heart disease cardiovascular event,[Simvastatin]
1725,Neuromyelitis Optica Spectrum Disorder,[Eculizumab]
1726,Recurrent hemodynamically unstable Ventricular tachycardia,[Amiodarone]
1727,Smallpox,[Cidofovir]
1728,Photodermatitis,[Bendazac]
1729,Hypocalcemic tetany,[Calcium Chloride]
1730,Pauciarticular juvenile rheumatoid arthritis,[Meloxicam]
1731,Corneal Ulcers caused by Streptococcus Pneumoniae,[Ciprofloxacin]
1732,Hemorrhagic disease of the newborn,[PhylloquinoneCommonly known or available as Vitamin K1]
1733,Myoclonus,[Fluoxetine]
1734,Nondiabetic nephropathy,[Benazepril]
1735,"Stable antiretroviral regimen, less than 50 HIV-1 RNA copies HIV-1",[Bictegravir]
1736,Acute epididymo-orchitis caused by Chlamydia Trachomatis,[Doxycycline]
1737,Chlamydial Urethritis,[Doxycycline]
1738,Unresectable lung origin Progressive Neuroendocrine Tumors,[Everolimus]
1739,Cancer Related Pain (Breakthrough Pain),[Fentanyl]
1740,"Uncomplicated skin and skin structure infections caused by streptococcus pyogenes, staphylococcus aureus",[Cefdinir]
1741,Neurological Disorders,[Mirtazapine]
1742,Psoriasis of the scalp,[Fluocinolone acetonide]
1743,Infection Due to Escherichia Coli,[Doxycycline]
1744,Life-threatening ventricular arrhythmias,[Procainamide]
1745,Advanced Hodgkin's Lymphoma,[Etoposide]
1746,Refractory gestational trophoblastic disease,[Cisplatin]
1747,Moderate Pneumonia,[Cefepime]
1748,NYHA Class I Congestive heart failure,[Perindopril]
1749,Brachioradial pruritus,[Gabapentin]
1750,Graves Ophthalmopathy,[Prednisone]
1751,Secondary prevention cardiovascular event,[Pravastatin]
1752,Breast Cancer Invasive Nos,[Raloxifene]
1753,Chronic Eosinophilic Leukemia (CEL),[Imatinib]
1754,Pancreatic Adenocarcinoma Metastatic,[Paclitaxel]
1755,Acute Bacterial Sinusitis (ABS),[Azithromycin]
1756,Treatment-resistant Schizophrenia,[Clozapine]
1757,Completely obstructive Non-small cell lung cancer,[Porfimer sodium]
1758,Unresectable Leiomyosarcoma,[Trabectedin]
1759,Esophagitis,[Nizatidine]
1760,Postpoliomyelitis Syndrome,[Pyridostigmine]
1761,Chronic Angle-closure Glaucoma,[Echothiophate]
1762,Chlamydia Trachomatis Infection,[Demeclocycline]
1763,Pituitary Dwarfism,[L-Arginine]
1764,Moderate Vascular dementia,[Memantine]
1765,Bullous dermaitits herpetiformis,[Bupivacaine]
1766,Central Diabetes Insipidus,[Desmopressin]
1767,Bone Infection,[Cephalexin]
1768,Toxic multinodular goiter,[Methimazole]
1769,Mild Streptococcal pharyngitis,[Cefuroxime]
1770,Amoebiasis,[Acetarsol]
1771,Refractory Anaplastic astrocytoma,[Temozolomide]
1772,Reactive depression,[Amoxapine]
1773,Ancylostoma duodenale infection,[Mebendazole]
1774,"Unresectable, metastatic enteropancreatic neuroendocrine tumors",[Lanreotide]
1775,Dyslipidemias,[Lovastatin]
1776,LVEF <40% Congestive heart failure,[Eplerenone]
1777,Cryptococcal infections,[Flucytosine]
1778,Missed Abortion,[Misoprostol]
1779,Metastatic Basal cell carcinoma,[Vismodegib]
1780,Acquired Aplastic Anemia,[Oxymetholone]
1781,Relapsed Follicular Lymphoma,[Copanlisib]
1782,Refractory Epilepsy,[Diazepam]
1783,Complicated Urinary Tract Infections caused by susceptible Gram-negative microorganisms,[Ceftazidime]
1784,"Chronic, refractory Myeloid Leukemia",[Hydroxyurea]
1785,Tourette's Disorder,[Aripiprazole]
1786,Refractory Langerhans cell histiocytosis,[Clofarabine]
1787,Severe dementia of the Alzheimer's type,[Memantine]
1788,Acute Bacterial Skin and Skin Structure Infections caused by Streptococcus constellatus,[Delafloxacin]
1789,Refractory Acute Promyelocytic Leukemia,[Arsenic trioxide]
1790,Refractory Hypertension,[Atenolol]
1791,Endophthalmitis,[Amikacin]
1792,Impetigo contagious,[Gentamicin]
1793,Asymptomatic Trichomoniasis,[Metronidazole]
1794,Astrocytomas,[Carmustine]
1795,"Refractory, metastatic squamous cell Non-small cell lung cancer",[Afatinib]
1796,Idiopathic Parkinsonism,[Trihexyphenidyl]
1797,Prophylaxis of Radiation proctitis,[Amifostine]
1798,Sinusoidal Obstruction Syndrome,[Defibrotide]
1799,"Blepharoconjunctivitis caused by Staphylococcus epidermidis, Streptococcus Pneumoniae, Streptococcus viridans, Haemophilus Influenzae, Pseudomonas Aeruginosa, Staphylococcus Aureus",[Trimethoprim]
1800,Allergic dermatitis,[Bendazac]
1801,Atherothrombotic events,[Clopidogrel]
1802,Metastatic HR + HER2 - breast cancer,[Letrozole]
1803,Acute erythroid leukemia,[Daunorubicin]
1804,Bipolar Disorder With Manic or Mixed Episodes,[Olanzapine]
1805,Primary prevention Unstable angina,[Lovastatin]
1806,Steroid-responsive inflammation,[Tobramycin]
1807,Furuncle,[Levofloxacin]
1808,Acne vulgaris of the chest,[Adapalene]
1809,Solar erythema,[Bendazac]
1810,Gout Chronic,[Probenecid]
1811,Non-erosive Reflux Disease (NERD),[Rabeprazole]
1812,Refractory Breast cancer,[Vinblastine]
1813,Gastroesophgeal reflux,[Magaldrate]
1814,Active Ankylosing Spondylitis or Non-Radiographic Axial Spondyloarthritis,[Certolizumab pegol]
1815,Radiolucent Cholesterol gallstones,[Chenodeoxycholic acid]
1816,Recurrent spontaneous preterm birth,[Progesterone]
1817,Non-Allergic Rhinitis,[Ipratropium]
1818,Leg cramps,[Diltiazem]
1819,Bone Marrow Suppression,[Sargramostim]
1820,Extrauterine Pregnancy,[Methotrexate]
1821,Refractory Testicular germ cell cancer,[Paclitaxel]
1822,Stage 4 gastrointestinal adenocarcinoma,[Floxuridine]
1823,Fat malabsorption,[Pancrelipase]
1824,Migraine With Aura,[Frovatriptan]
1825,Permphigus,[Bupivacaine]
1826,Acute Otitis Externa caused by Pseudomonas Aeruginosa,[Ciprofloxacin]
1827,Systemic Candida Infections caused by Candida,[Fluconazole]
1828,Indigestion,[Sucralfate]
1829,Hypertonicity of the small intestine,[Atropine]
1830,Acetaminophen Overdose,[Acetylcysteine]
1831,Metastatic Neuroendocrine Tumors,[Indium In-111 pentetreotide]
1832,Acute Low Back Pain,[Tizanidine]
1833,Staphylococcal impetigo,[Retapamulin]
1834,Subarachnoid Hemorrhage,[Labetalol]
1835,Non-nucleoside reverse transcriptase inhibitor resistant HIV-1 infection,[Etravirine]
1836,Acute nasopharyngitis,[Brompheniramine]
1837,Pharyngitis,[Azithromycin]
1838,Exocrine Pancreatic Insufficiency,[Pancrelipase]
1839,"Heart failure, moderate",[Digoxin]
1840,Drug-induced edema,[Acetazolamide]
1841,Acute hemodynamically stable Myocardial infarction,[Metoprolol]
1842,Nicotine Withdrawal,[Nicotine]
1843,Conjunctivitis caused by chlamydia,[Demeclocycline]
1844,Erythema multiforme,[Corticotropin]
1845,Acute acute bacterial skin and skin structure infections,[Omadacycline]
1846,Moniliasis,[Clioquinol]
1847,Severe Paroxysmal atrial fibrillation,[Flecainide]
1848,Moderate Pneumocystis jiroveci pneumonia,[Atovaquone]
1849,Moderate community-acquired pneumonia,[Telithromycin]
1850,Postoperative paralytic ileus,[Trimebutine]
1851,Lower respiratory tract infection caused by Klebsiella pneumoniae,[Ciprofloxacin]
1852,Fungal osteoarticular infections,[Amphotericin B]
1853,Polydipsia,[Desmopressin]
1854,"Refractory, metastatic Squamous Cell Carcinoma of Head and Neck",[Nivolumab]
1855,Type IIb hyperlipoproteinaemia,[Bezafibrate]
1856,Mild Otitis media,[Phenoxymethylpenicillin]
1857,Filariasis,[Mebendazole]
1858,Localized Neurodermatitis,[Clioquinol]
1859,Metastatic disease has progressed during or following platinum-containing chemotherapy urothelial carcinoma (UC),[Avelumab]
1860,Subacute Sclerosing Panencephalitis,[Inosine pranobex]
1861,Vitamin K antagonist induced major bleeding,[Coagulation factor X human]
1862,Refractory Idiopathic thrombocytopenic purpura,[Dapsone]
1863,"Progressive, metastatic Anaplastic lymphoma kinase-positive Metastatic Non-Small Cell Lung Cancer",[Lorlatinib]
1864,"Acute, recurrent Urinary Tract Infection caused by Klebsiella Enterobacter, Staphylococcus, Proteus mirabilis, Proteus vulgaris, Escherichia Coli",[Acetyl sulfisoxazole]
1865,Bronchiectasis,[Amoxicillin]
1866,Laryngotracheobronchitis,[Epinephrine]
1867,Streptococcus pyogenes skin infection,[Cefaclor]
1868,Acute rhino-sinusitis,[Framycetin]
1869,Relapsed follicular B-cell non-Hodgkin lymphoma,[Idelalisib]
1870,"Non-infectious Intermediate, Posterior and Panuveitis",[Adalimumab]
1871,Shingles,[Valaciclovir]
1872,Moderate Asthma,[Omalizumab]
1873,B-Cell Chronic Lymphocytic Leukemia,[Alemtuzumab]
1874,Convulsions,[Magnesium sulfate]
1875,Previously treated with an HCV regimen containing an NS5A inhibitor Chronic hepatitis C genotype 3,[Voxilaprevir]
1876,Severe COPD exacerbation,[Fenoterol]
1877,Refractory Ulcerative colitis,[Ciclosporin]
1878,Uterine subinvolution,[Methylergometrine]
1879,Metastatic Biliary Tract Cancer,[Gemcitabine]
1880,Hemolytic Anemia,[Bupivacaine]
1881,"Seizure, Absence",[Valproic Acid]
1882,Chronic Alcoholism,[Disulfiram]
1883,Anticholinesterase overdose,[Pralidoxime]
1884,Tachyarrhythmia caused by catecholamine excess,[Propranolol]
1885,Progressive radioactive iodine-refractory Thyroid cancer,[Lenvatinib]
1886,Consumption coagulopathy,[Heparin]
1887,Muscle_spasm,[Chlorphenesin]
1888,Taenia solium infection,[Mebendazole]
1889,High risk Myelofibrosis,[Ruxolitinib]
1890,Primary Osteoporosis,[Teriparatide]
1891,Hemorrhagic cystitis caused by ifosfamide,[Coenzyme M]
1892,Hemangiosarcoma,[Sorafenib]
1893,Legionnaires' Disease,[Erythromycin]
1894,Menstrual Irregularities,[Drospirenone]
1895,Early Kaposi's sarcoma,[Bleomycin]
